TAG_CAT;TAG_ID;TAG_NAME;TAG_CNT;FR_ID;MAL_ID;MAL_NAME;MAL_CNT
4;673555;libra_zodiarts;9;376302;;;
4;673728;mel_(suikoden);9;604935;;;
4;674163;midorikawa_haru;9;464822;76334;Haru Midorikawa;0
4;674165;midorikawa_yuuta;9;464822;76332;Yuuta Midorikawa;0
4;674523;gorori;9;654967;;;
4;674808;jose_carioca;9;5649;;;
4;676033;yagyuu_yukinojou;9;415610;;;
4;676170;genjou_sanzou;9;396887;217;Sanzou Genjou;749
4;676932;koba_youka;9;676931;;;
4;677587;raphael_(saint_onii-san);9;677579;;;
4;678004;kyougoku_makoto;9;501591;30368;Makoto Kyougoku;9
4;678588;karma_(mugen);9;648059;;;
4;679806;lulu_(komorebi_no_kuni);9;679805;;;
4;679892;becky_flina;9;620408;;;
4;681044;akeboshi_akane;9;656010;;;
4;681366;iwasaki_ryuuji;9;414715;;;
4;681683;batsuura_aya;9;673819;;;
4;682588;yauchi_mari;9;673819;;;
4;682625;kisaki_erika;9;;;;
4;682812;veloce_(viper);9;5634;;;
4;682960;kasper_hekmatyar;9;493970;61759;Kasper Hekmatyar;63
4;682975;gorg;9;13846;;;
4;684020;emelita;9;662504;;;
4;684539;dorothy_(queen's_gate);9;407621;;;
4;685021;shindou_mei;9;587622;37494;Mei Shindou;7
4;685239;mystic_(sekaiju);9;403436;;;
4;685629;rokujou_miyaho;9;383321;;;
4;686073;aka_manto;9;;;;
4;686223;fujii_alice;9;686221;;;
4;686224;gokiburi_(arachnid);9;686221;;;
4;686776;arishima_nahoko;9;670867;;;
4;688330;celestine_charleroi;9;663052;;;
4;689007;phil_coulson;9;11949;;;
4;689760;aquarius_zodiarts;9;376302;;;
4;690211;farsia_(agarest_senki);9;513146;;;
4;690304;ichinomiya_ichigo;9;690294;;;
4;690804;gundam_age-2_darkhound;9;76;;;
4;691697;toyotomi_hideyoshi_(sengoku_musou);9;399747;;;
4;691761;dopp;9;76;;;
4;692266;kaboola;9;440484;;;
4;692794;jack_cayman;9;;;;
4;692813;charm_(yuusha_mushoku);9;603758;;;
4;692882;furiata;9;692883;;;
4;693441;gowcaizer;9;693440;;;
4;693573;dicke_bertha;9;689041;;;
4;693864;yunan;9;614941;65107;Yunan;160
4;694117;natsuki_junko;9;388796;;;
4;694132;hikami_michie;9;388796;;;
4;694638;ghutatan_(nyaruko-san);9;562613;65273;Ghutatan;8
4;694910;hinogami_goh;9;135615;;;
4;695003;nero_(eiyuu_senki);9;658565;;;
4;695109;umikamome_kotone;9;690392;;;
4;695148;srungle_(mecha);9;695127;;;
4;695159;mariya_yuri;9;593915;56241;Yuri Mariya;35
4;695312;android_(elona);9;530225;;;
4;695330;leah_(diablo_3);9;420833;;;
4;695391;morigaki_yuuka;9;341;55049;Yuuka Morigaki;0
4;695517;emoto_kuniteru;9;376302;;;
4;695758;hishigami_enbi;9;695760;;;
4;695796;reptilianne_naga;9;540387;;;
4;696663;roxy_lalonde;9;590295;;;
4;696848;senior_witch_(majo_no_takkyuubin);9;609203;;;
4;697221;murase_chika;9;697220;;;
4;697531;golem_(dragon_quest);9;8574;;;
4;697969;gilda;9;565808;;;
4;698048;ronia_series;9;15410;;;
4;698992;date_masamune_(sengoku_collection);9;649219;;;
4;699389;date_masamune_(sengoku_musou);9;399747;;;
4;699607;anduin_wrynn;9;15230;;;
4;699879;hanazato_megumi;9;658204;;;
4;700011;abe_no_seimei_(eiyuu_senki);9;658565;;;
4;700266;tina_(fire_emblem);9;13133;;;
4;700834;ada_(unlight);9;660112;;;
4;701051;yasukuni_akane;9;703306;;;
4;702634;hornet_sonia;9;12973;18573;Sorento Siren;14
4;702684;kishimano_kouko;9;621522;;;
4;702995;kohinata_minoru;9;680642;;;
4;703307;eve_elain_austin;9;703306;;;
4;704081;hondou_ayano;9;706821;;;
4;704114;chou_chou_tsundere;9;704104;;;
4;705051;yuasa_shouko;9;611574;65631;Shouko Yuasa;3
4;705271;zelos_(blazing_souls);9;705661;;;
4;705290;alia_(blazing_souls);9;705661;;;
4;706047;eugenia_horbaczewski;9;11797;;;
4;706071;serie_(shingeki_no_bahamut);9;680772;;;
4;706802;aine_(boku_ga_tenshi_ni_natta_wake);9;706799;;;
4;706961;kirishima_shizuka;9;607076;;;
4;707360;eniripsa;9;453066;;;
4;707410;isokishi;9;707414;;;
4;707416;alex_(inspiration);9;707423;;;
4;707958;zeiss;9;13133;;;
4;708119;shindo_makoto;9;1044538;;;
4;708490;aoi_yachiho;9;690437;;;
4;708711;sawamura_kirika;9;673269;;;
4;708712;shirosaki_ririsu;9;673269;;;
4;708857;gouda_jaiko;9;2852;118843;Jaiko Gouda;1
4;710819;hokaze_kon;9;710363;65955;Kon Hokaze;70
4;710880;estelle_norn_stern;9;710876;;;
4;710976;ootori_erika;9;710974;;;
4;711125;kujou_ruri;9;711120;;;
4;711170;brian_taylor;9;464822;73127;Brian Taylor;0
4;711203;totsuka_tatara;9;707853;;;
4;712383;kurasuke's_demon_girl;9;;;;
4;712602;marashii;9;29;;;
4;713009;red_she-hulk;9;;;;
4;713183;hiraga_gennai_(sengoku_collection);9;649219;;;
4;713192;maeda_keiji_(sengoku_collection);9;649219;;;
4;713285;messenger_knight;9;620408;;;
4;713569;bai_hua;9;648332;130610;Baihua;0
4;713592;crevasse;9;620408;;;
4;713632;migi_no_ko;9;;;;
4;713949;robin_baxter;9;617243;74429;Robin Baxter;1
4;714844;sakisaka_satoru;9;709959;99417;Satoru Sakisaka;0
4;715037;riel_(netorare);9;715183;;;
4;715213;scp-811;9;715163;;;
4;715803;kerberos_(chuu2koi);9;662470;;;
4;716095;kuroi_makoto;9;716096;;;
4;716714;tenguji_aquarius_uduki;9;663543;;;
4;716790;ikaruga_setsuna;9;717858;;;
4;718396;katagiri_katsumoto;9;644654;;;
4;718509;shinzaburou;9;687973;73271;Shinzaburou;5
4;718947;houraisen_rena;9;404874;;;
4;718974;ei_li_fan;9;630876;;;
4;719142;kurimiya_manaka;9;;;;
4;719320;kitashirakawa_mamedai;9;716374;75412;Mamedai Kitashirakawa;13
4;719580;island_1;9;525;;;
4;719754;rpk_(upotte!!);9;492697;;;
4;719779;himiya_yuu;9;;;;
4;719801;kazumiya_beru;9;;;;
4;719802;takamiya_momo;9;;;;
4;720235;azumane_asahi;9;707723;67333;Asahi Azumane;462
4;720460;andromeda_(uchuu_senkan_yamato);9;15328;;;
4;720714;wyvern_(monster_girl_encyclopedia);9;605805;;;
4;720717;dhampir_(monster_girl_encyclopedia);9;605805;;;
4;720725;elesh_norn;9;596845;;;
4;720860;angel_(monster_girl_encyclopedia);9;605805;;;
4;721401;misaki_erimo;9;721400;;;
4;721402;chishima_kirika;9;721400;;;
4;721800;red_oni_(monster_girl_encyclopedia);9;605805;;;
4;721810;nereis;9;605805;;;
4;721895;fix-it_felix_jr;9;721545;;;
4;722030;red_slime_(monster_girl_encyclopedia);9;605805;;;
4;722032;bubble_slime_(monster_girl_encyclopedia);9;605805;;;
4;723363;takane_kyouko;9;723367;;;
4;723478;kinemon;9;8875;67345;Kinemon;8
4;723621;houri_miyako;9;714735;;;
4;724108;toma_parott;9;14703;152750;Toma;1
4;724549;imamura_saeka;9;;;;
4;725026;manaka_nemu;9;671806;54179;Nemu Manaka;212
4;725063;ichiki_umi;9;676931;;;
4;725679;ultra_cure_happy;9;464822;;;
4;726049;tiki_(e.x._troopers);9;726048;;;
4;726146;fiona_hargreaves;9;;;;
4;726316;blue-eyes_ultimate_dragon;9;540387;;;
4;726398;kanimusume_(peko);9;;;;
4;726481;rico_(sword_girls);9;620408;;;
4;726600;hime-chan;9;726618;78943;Hime-chan;0
4;726601;foyfoy;9;726618;76902;Foyfoy;4
4;726708;seventh_angel_(evangelion_2.0);9;12658;;;
4;726904;priam;9;13133;;;
4;727503;vampire_suzumori;9;727186;;;
4;728013;fortune_(metal_gear);9;1076592;;;
4;728015;frogs_(metal_gear);9;1076592;;;
4;740352;isshiki_mashiro;9;712844;77053;Mashiro Isshiki;0
4;752797;baba_lamune;9;392574;17434;Ramune Baba;8
